phylum;taxon_id_parent;n_hok_1980-1999;n_hok_2000-2019;n_hok_tot_1980-1999;n_hok_tot_2000-2019;prop_baseline;prop_2000_2019;ell_l;ell_n;ell_f;ell_r;ell_t;substrate;residuals_model_substrate;residuals_model_ellenberg
Bryophyta; 916; 12; 34;227;227;0,05726872;0,154185022;7;2; 8;3;4;rock, hard;  3,395808783; 4,611079271
Bryophyta; 916; 12; 34;227;227;0,05726872;0,154185022;7;2; 8;3;4;mineral soil;  4,565515902; 4,611079271
Bryophyta; 917;  7; 11;227;227;0,03524229;0,052863436;8;2; 9;4;2;mineral soil;  0,328045355; 0,952622108
Bryophyta; 918; 21; 17;227;227;0,09691630;0,079295154;8;1; 8;1;3;peat; -2,516252593;-1,813336474
Bryophyta; 918; 21; 17;227;227;0,09691630;0,079295154;8;1; 8;1;3;mineral soil; -2,028543457;-1,813336474
Bryophyta; 925; 42; 49;227;227;0,18942731;0,220264317;7;2; 9;3;2;peat; -0,848699639; 0,937924634
Bryophyta; 925; 42; 49;227;227;0,18942731;0,220264317;7;2; 9;3;2;mineral soil; -0,115290836; 0,937924634
Bryophyta; 930; 42; 60;227;227;0,18942731;0,268722467;6;5; 4;6;5;epiphytic on living wood; -1,279379290; 0,059948759
Bryophyta; 931; 24; 25;227;227;0,11013216;0,114537445;6;6; 6;7;6;epiphytic on living wood; -3,159317700;-1,492583775
Bryophyta; 931; 24; 25;227;227;0,11013216;0,114537445;6;6; 6;7;6;rock, hard; -2,004644285;-1,492583775
Bryophyta; 931; 24; 25;227;227;0,11013216;0,114537445;6;6; 6;7;6;artificial stone; -1,449527070;-1,492583775
Bryophyta; 931; 24; 25;227;227;0,11013216;0,114537445;6;6; 6;7;6;soil on rock; -1,673274102;-1,492583775
Bryophyta; 932; 46;123;227;227;0,20704846;0,546255507;6;5; 4;6;6;epiphytic on living wood;  6,948377368; 8,332219892
Bryophyta; 934; 26; 42;227;227;0,11894273;0,189427313;8;3; 3;7;5;gravel or sand;  1,431103845;-0,046178960
Bryophyta; 934; 26; 42;227;227;0,11894273;0,189427313;8;3; 3;7;5;artificial stone;  1,277084777;-0,046178960
Bryophyta; 936; 43; 67;227;227;0,19383260;0,299559471;6;6; 4;6;5;epiphytic on living wood; -0,451771731; 1,194681924
Bryophyta; 936; 43; 67;227;227;0,19383260;0,299559471;6;6; 4;6;5;artificial stone;  1,972384616; 1,194681924
Bryophyta; 946; 87; 95;227;227;0,38766520;0,422907489;3;3; 6;3;3;decorticated wood; -1,042436203;-1,371721521
Bryophyta; 946; 87; 95;227;227;0,38766520;0,422907489;3;3; 6;3;3;peat; -0,757957251;-1,371721521
Bryophyta; 952; 20; 43;227;227;0,09251101;0,193832599;3;6; 6;7;4;epiphytic on living wood;  0,965765013; 2,751563934
Bryophyta; 952; 20; 43;227;227;0,09251101;0,193832599;3;6; 6;7;4;rock, hard;  2,373777996; 2,751563934
Bryophyta; 952; 20; 43;227;227;0,09251101;0,193832599;3;6; 6;7;4;rock, soft;  2,614478749; 2,751563934
Bryophyta; 952; 20; 43;227;227;0,09251101;0,193832599;3;6; 6;7;4;artificial stone;  3,075206535; 2,751563934
Bryophyta; 952; 20; 43;227;227;0,09251101;0,193832599;3;6; 6;7;4;mineral soil;  3,616545675; 2,751563934
