id	code	naam_nederlands	naam_wetenschappelijk	taxn_vrs_key	taxongroep	usageKey	scientificName	rank	order	matchType	phylum	kingdom	genus	class	confidence	synonym	status	family
8351	schissin	Zwart achterlichtmos	Schistidium helveticum (Schkuhr) Deguchi	INBSYS0000000687	Mossen	8248096	Schistidium helveticum (Schkuhr) Deguchi	SPECIES	Grimmiales	EXACT	Bryophyta	Plantae	Schistidium	Bryopsida	100	FALSE	ACCEPTED	Grimmiaceae
8352	eurhyflo	Klein spitsmos	Sciuro-hypnum flotowianum (Sendtn.) Ignatov & Huttunen	INBSYS0000000697	Mossen	7762444	Sciuro-hypnum flotowianum (Sendtn.) Ignatov & Huttunen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Sciuro-hypnum	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8353	bractoed	Ijl dikkopmos	Sciuro-hypnum oedipodium (Mitt.) Ignatov & Huttunen	INBSYS0000000662	Mossen	8120990	Sciuro-hypnum oedipodium (Mitt.) Ignatov & Huttunen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Sciuro-hypnum	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8354	bractplu	Oeverdikkopmos	Sciuro-hypnum plumosum (Hedw.) Ignatov & Huttunen	INBSYS0000000605	Mossen	8399643	Sciuro-hypnum plumosum (Hedw.) Ignatov & Huttunen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Sciuro-hypnum	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8355	bractpop	Penseeldikkopmos	Sciuro-hypnum populeum (Hedw.) Ignatov & Huttunen	INBSYS0000000606	Mossen	7935594	Sciuro-hypnum populeum (Hedw.) Ignatov & Huttunen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Sciuro-hypnum	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8356	bractref	Gekromd dikkopmos	Sciuro-hypnum reflexum (Starke) Ignatov & Huttunen	INBSYS0000000706	Mossen	7493910	Sciuro-hypnum reflexum (Starke) Ignatov & Huttunen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Sciuro-hypnum	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8357	scorucir	Boogtakmos	Scorpiurium circinatum (Bruch) M.Fleisch. & Loeske	INBSYS0000000563	Mossen	2679719	Scorpiurium circinatum Fleischer & Loeske, 1907	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Scorpiurium	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8358	seligpau	Armbladig penseelmos	Seligeria calycina Mitt. ex Lindb.	NHMSYS0000310622	Mossen	7665736	Seligeria calycina Mitt. ex Lindb.	SPECIES	Seligerales	EXACT	Bryophyta	Plantae	Seligeria	Bryopsida	100	FALSE	ACCEPTED	Seligeriaceae
8359	syntrint	Vioolsterretje	Syntrichia montana Nees	INBSYS0000000770	Mossen	7846682	Syntrichia montana Nees	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Syntrichia	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
8360	thuidphi	Zweepthujamos	Thuidium assimile (Mitt.) A.Jaeger	INBSYS0000000657	Mossen	2679480	Thuidium assimile Jaeger, 1878	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Thuidium	Bryopsida	100	FALSE	ACCEPTED	Thuidiaceae
8361	syntrine	Rotssterretje	Tortula inermis (Brid.) Mont.	INBSYS0000000552	Mossen	5711254	Tortula inermis (Brid.) Mont.	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Tortula	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
8362	ditrycyl	Hakig smaltandmos	Trichodon cylindricus (Hedw.) Schimp.	INBSYS0000000635	Mossen	5282403	Trichodon cylindricus W.P.Schimper, 1856	SPECIES	Dicranales	EXACT	Bryophyta	Plantae	Trichodon	Bryopsida	100	FALSE	ACCEPTED	Ditrichaceae
8363	calgnsar	Bloedpuntmos	Warnstorfia sarmentosa (Wahlenb.) Hedenäs	INBSYS0000000720	Mossen	2681621	Warnstorfia sarmentosa Hedenäs, 1993	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Warnstorfia	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
8364	aloinamb	NA	Aloina ambigua (Bruch & Schimp.) Limpr.	NHMSYS0000309305	Mossen	2672833	Aloina ambigua (Bruch & W.P.Schimper) Limpricht, 1888	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Aloina	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
8365	bryumkun	NA	Bryum kunzei Hornsch.	INBSYS0000000754	Mossen	2676657	Bryum kunzei Hornschuch, 1819	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Bryum	Bryopsida	100	FALSE	ACCEPTED	Bryaceae
8366	campmpro	NA	Campylium protensum (Brid.) Kindb.	INBSYS0000000549	Mossen	4279909	Campylium protensum (Brid.) Kindb.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Campylium	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
8367	didymins	NA	Didymodon insulanus (De Not.) M.O.Hill	NBNSYS0000146092	Mossen	5711160	Didymodon insulanus (De Not.) M.O.Hill	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Didymodon	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
8368	ephemmin	NA	Ephemerum minutissimum Lindb.	INBSYS0000000761	Mossen	5710705	Ephemerum minutissimum Lindb.	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Ephemerum	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
8369	plagtsuc	NA	Plagiothecium succulentum (Wilson) Lindb.	NHMSYS0000310333	Mossen	5283458	Plagiothecium succulentum Lindberg, 1865	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Plagiothecium	Bryopsida	100	FALSE	ACCEPTED	Plagiotheciaceae
8370	sphagaur	Geoord veenmos	Sphagnum auriculatum Schimp.	INBSYS0000000779	Mossen	4280844	Sphagnum auriculatum Schimp.	SPECIES	Sphagnales	EXACT	Bryophyta	Plantae	Sphagnum	Sphagnopsida	100	FALSE	ACCEPTED	Sphagnaceae
8371	zygodv_s	NA	Zygodon stirtonii Schimp. ex Stirt.	INBSYS0000000782	Mossen	8681798	Zygodon stirtonii Schimp. ex Stirt.	SPECIES	Orthotrichales	EXACT	Bryophyta	Plantae	Zygodon	Bryopsida	100	TRUE	SYNONYM	Orthotrichaceae
8372	zygodvir	NA	Zygodon viridissimus s.l.	INBSYS0000046583	Mossen	5281000	Zygodon viridissimus Bridel, 1826	SPECIES	Orthotrichales	EXACT	Bryophyta	Plantae	Zygodon	Bryopsida	98	FALSE	ACCEPTED	Orthotrichaceae
8373	NA	NA	Amblystegium riparium (Hedw.) Schimp.	INBSYS0000011589	Mossen	4279820	Amblystegium riparium (Hedw.) Schimp.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Leptodictyum	Bryopsida	100	TRUE	SYNONYM	Amblystegiaceae
